ACCESSION,CALL NO.,AUTHOR,TITLE,PAGES,YEAR
TH19-00186,THESIS TH 186 C36 2018,"Candaliza, Danielle Ann C.",Entrepreneurial resilience: factors that keeps entrepreneurs,v.p.,2018
TH19-00187,THESIS TH 187 A48 2018,"Alviso, Joshua Perth Y. ",The effectiveness of minimalism and interactivity on websites among ITMAWA students of sto college global city in the academic year 2017-2018 proposing a website for business establishments,v.p.,2018
TH19-00188,THESIS TH 188 A23 2018,"Abdulcair, Mohammad Ryan","The effectiveness of utilising codecademy website in programming of grade 11 students of sto college global city academic yesr 2017-2018: towards the implementation of bugzone, an educational website intended for IT students",v.p.,2018
TH19-00189,THESIS TH 189 A56 2018,"Anonical, Crizza Mae",The significance of having abundance iq and eq among grade 12 STEM students in sti college global city in the academic year 2017-2018: proposing of a behavior management symposium,v.p.,2018
TH19-00190,THESIS TH 190 A33 2018,"Agapay, Erica Joy",The accessibility of using facebook as a tool of cyberbullying among Senior High ITMAWE students in sti college global city in the academic year 2017-2018: promoting a video documentary on cyberbullying,v.p.,2018
TH19-00191,THESIS TH 191 A58 2018,"Antonio, Mir Joshua C.",Level of mathematical game in the enhancement of logical ability of grade 12 information technology in mobile application and web enhancement students in sti global city academic 2017-2018: a basis for the development of mathology game,v.p.,2018
TH19-00192,THESIS TH 192 C33 2017,"Cabanilla, Aizel Lorissa S. ",Human resources information system for flowcrete construction equipment philippines incorporated,v.p.,2018
TH19-00193,THESIS TH 193 B47 2018 ,"Bertos, Christianne Marie",The significance of employee's performance in increasing the patronization rate: an analysis towards the development of proposed module for customer satisfaction,v.p.,2018
TH19-00194,THESIS TH 194 A43 2018,"Alagao, Lorenzo Ricci",The significance of intergrated development environment of software in learning programming among the grade11 ITMAWE students in sti college global city in the academic year 2017-2018: towards the development of a software efficiency booklet,v.p.,2018
TH19-00195,THESIS TH 195 A23 2018,"Abanilla, Alec Karl",Antas ng kasanayan ng BSIT-DA 201-202 sy 2015-2016 sa larangan ng pagguhit gamit ang adobe illustrator,v.p.,2018
TH19-00196,THESIS TH 196 C36 2018,"Ca¤ares, Darlene S. ",Impact of contractual employee's prodcutivity in selected fastfood establishment in market-market,v.p.,2018
TH19-00197,THESIS TH 197 B47 2018,"Bergunio, Ma. Suzette",A bachelor's feasibility study presentation to the faculty of the undergraduate school,v.p.,2018
TH19-00198,THESIS TH 198 B53 2018,"Blaquerra, Jeri R. ",Combinatin of herbs and spices to process insecticides for the reducation of disease-causing insects in households,v.p.,2018
TH19-00199,THESIS TH 199 M33 2018,"Maclang, Allyza A. ",The effectibeness of e-learning system to the academic performance pf grade 12 ITMAWE students in sti college global city towards the development of an educational website,v.p.,2018
TH19-00200,THESIS TH 200 C37 2018 ,"Caraos, John Rey B. ",A bachelor's feasibility study to the faculty of the undergraduate school,v.p.,2018
TH19-00201,THESIS TH 201 C35 2017,"Calanoga, Katrina-Marie G. ",The potency of using a radiation-diminishing case for mobile phones of selected students in STI College Global City to a beneficial product,v.p.,2018
TH19-00202,THESIS TH 202 D48 2017,,"Devising, formulating and implementing network infrastructure for FARB software development ltd. through network simulation facility",v.p.,2018
TH19-00203,THESIS TH 203 G37 2018,"Garrovillo, Ezabel C. ",Feasibility study in club and resort operation masasa beach resort,v.p.,2018
TH19-00204,THESIS TH 204 E25 2018,"Eclarino, Gilene C. ",Feasibility study in club and resort operation gallivant beach resort,v.p.,2018
TH19-00205,THESIS TH 205 A44 2018,"Amoranto, Ara R.",A bachelor's feasibility study presented to the faculty of the undergraduate school STI College Global City,v.p.,2018
TH19-00206,THESIS TH 206 B35 2018,"Balmes, Fritchi","A feasibility study of iiegar de nuevo as a new eco lodge resort in busuanga coron, palawan",v.p.,2018
TH19-00207,THESIS TH 207 B37 2017,"Barloso, Al Joshua H.",Amazon water supply incorporated payment monitoring and billing system,v.p.,2017
TH19-00208,THESIS TH 208 A46 2017,"Alowaisi, Lulua Omar Abdulla M.",Productivity monitoring system for CTBC indirect sales channel,v.p.,2017
TH19-00209,THESIS TH 209 P53 2017,,"Planning, designing and developing with an effective strategic implementation of network infrastructure for FARB Software Development Ltd. through network simulation facilities",v.p.,2017
TH19-00210,THESIS TH 210 M33 2017,"Macugay, Joseph Christopher C. ",A bachelor's feasibility study presented to the faculty of the undergraduate school STI College Global City,v.p.,2017
TH19-00211,THESIS TH 211 C36 2017,"Canta, Armar A. ",Performance evaluation with record keeping for Philippine Army Finance Center Producers Integrated Cooperative (PAFCPIC),v.p.,2017
TH19-00212,THESIS TH 212 D45 2017,"Delos Santos, Gwen Paola R. ",Senior high school student monitoring system for STI College Global City,v.p.,2017
TH19-00213,THESIS TH 213 F56 2017,"Flores, Lyn Jeramie H. ",Online dental clinic patient information system for KJC strong smiles and Parkwood Dental Clinic with SMS,v.p.,2017
TH19-00214,THESIS TH 214 C33 2017,"Cabarrubias, Rochelle D. ",Point of sale (POS) with inventory system for Calma Drugstore,v.p.,2017
TH19-00215,THESIS TH 215 S25 2017 ,"Salentes, Hazel B. ",Andatoria bay resort management system with SMS notification,v.p.,2017
TH19-00216,THESIS TH 216 A26 2017 ,"Acoba, Laurelle V. ",Home service reservation with SMS notification for forevertouch body and beauty spa,v.p.,2017
TH19-00217,THESIS TH 217 A25 2017,"Abiog, Arvin M. ",Dental clinic management system for Mariategue Ortho-Dental Clinic,v.p.,2017
TH19-00218,THESIS TH 218 B84 2017,"Buenavista, Ranniel C. ",Customer information and sales monitoring system for pathair tricks salon,v.p.,2017
TH19-00219,THESIS TH 219 S46 2017,"Senia, Bon Jhoevett T. ",Church management system with RFID technology for the lord our righteousness king of kings Lords of Lords Christian Church,v.p.,2017
TH19-00220,THESIS TH 220 B84 2017,"Bueno, Rhose Ann Mae Z. ",Management system for BEKAY'S Therapeutic Massage,v.p.,2017
TH19-00221,THESIS TH 221 B86 2017,"Bunjan, Aaron James",Patient information and billing system for Sabili hospital.,v.p.,2017
TH19-00222,THESIS TH 222 B36 2017,"Bangayan, Joanna Marie S. ",Faculty paging system for STI College Global City,v.p.,2017
TH19-00223,THESIS TH 223 D45 2017,"Dela Cruz, Jeanie Anne A. ",Blood donors' information system with SMS for Philippine Red Cross-Makati City branch,v.p.,2017
TH19-00224,THESIS TH 224 B38 2017 ,"Bautista, Jovyann T. ",Online Reservation with billing system for Zaldy Ducusin events and consultancy,v.p.,2017
TH19-00225,THESIS TH 225 B46 2017 ,"Benavidez, Dezky John R. ",Online ordering system with delivery status monitoring for maxicool industries and contracting corporation,v.p.,2017
TH19-00226,THESIS TH 226 A43 2017 ,"Ala, Martin Luther S. ",E-learning system for Haven Montessori,v.p.,2017
TH19-00227,THESIS TH 227 A83 2017,"Atanacio, Ermin L. ",Sales and inventory with pet information management for world wonder pets,v.p.,2017
TH19-00228,THESIS TH 228 G66 2017,"Gonzales, Raymond B. ",Inventory system with online ordering for Marie Stella Beauty & Wellness products,v.p.,2017
TH19-00229,THESIS TH 229 A23 2017,"Abastillas, Quel Mike S. ",Dominic super pet shop sales and inventory with pet information management system,v.p.,2017
TH19-00230,THESIS TH 230 M67 2017,"Mora, Leiflor D. ",Online information and reservation system for St. John of the Cross Parish,v.p.,2017
TH19-00231,THESIS TH 231 B66 2017,"Bonifacio, John Francis J. ",Online records management system for Pasig City child development center,v.p.,2017
TH19-00232,THESIS TH 232 D59 2017,"Dizon, John Christian D.",Information system with scheduling amd billing for Petcentric Veterinary Clinic,v.p.,2017
TH19-00233,THESIS TH 233 B63 2017,"Bobita, Alura Bianca D. ",Information system with online reservation for JJ SafeRide Transport services,v.p.,2017
TH19-00234,THESIS TH 234 G38 2017,"Gatus, Kenneth Denielle B.",Property management system for regent parkway,v.p.,2017
TH19-00235,THESIS TH 235 S26 2017,"Santos, Jean Fredrick T. ",Inventory management and cashiring system for JOY'S PET SHOP,v.p.,2017
TH19-00236,THESIS TH 236 C37 2017,"Caraba¤a, Alfredo",Meg and Diego homemade candies production monitoring and inventory system with barcode scanner and SMS notification,v.p.,2017
TH19-00237,THESIS TH 237 M47 2017,"Meriales, Mark Margelo M. ",Barangay information system for South Cembo Makati City,v.p.,2017
TH19-00238,THESIS TH 238 P53 2017,,"Planning, designing, developing, and Implementing power-optimal technology network infrastructure for FARB Software developmet Ltd. through through network simulation facility",v.p.,2017
TH19-00239,THESIS TH 239 B35 2017,"Balasa, Vincent R. ",Online catering reservation system for Se¤or De Pacencia Enterprise,v.p.,2017
TH19-00240,THESIS TH 240 C33 2017,"Cadorna, Rhosan Marie M. ",Security personnel profile management system for sunstar security and detective agency,v.p.,2017
TH19-00241,THESIS TH 241 B55 2017,"Billones, Reicelene S. ",Point of sales with barcode scanner for taguig pet care animal clinic,v.p.,2017
TH19-00242,THESIS TH 242 D44 2017,"De Guzman, Jasper D. ",Restaurant management and billing system with android application for Pasto group,v.p.,2017
TH19-00243,THESIS TH 243 C35 2017,"Calibuso, Mark Roland E.",Enrollment system with online Pre Registration for HSL Braille College,v.p.,2017
TH19-00244,THESIS TH 244 B37 2017,"Barruga, Ronell C. ",Clinic management system for Mi¤oza medical clinic,v.p.,2017
TH19-00245,THESIS TH 245 G36 2017,"Gangoso, Elyn Grace",Loan Management system for BARN Business Venture with Online Monitoring and SMS notification,v.p.,2017
TH19-00246,THESIS TH 246 D45 2017,"Delos Santos, Carl Adrian",Project monitoring and information system for JRT telecom,v.p.,2017
TH19-00247,THESIS TH 247 A38 2017,"Aguilar, Cleo G.",Faculty evaluation system via web application,v.p.,2017
TH19-00248,THESIS TH 248 D43 2017,"De Casa, Ella Lorraine ",The factors that will have been considered by the Tourism Senior High School students in pursuing the Bachelor of Science in Tourism Management in STI College Global City,v.p.,2017
TH19-00249,THESIS TH 249 D56 2017,"Dionisio, Franchesca Nicole ",Patient information and billing system with SMS notification for Alejandro Doctors Medical Clinic,v.p.,2017
TH19-00250,THESIS TH 250 E87 2017,"Espiritu, Reinor John A.",Billing and payment monitoring system with SMS notification for MAKATI HOMES II,v.p.,2017
TH19-00251,THESIS TH 251 O43 2017,"Olan, Nathalie Joy G.",Student information system for Noah's Academy Inc,v.p.,2017
TH19-00252,THESIS TH 252 C67 2017,"Correa, Aprilyn Mae T. ",Recruitment agency system for JN employment services with SMS notifications,v.p.,2017
TH19-00253,THESIS TH 253 C37 2017,"aranay, Shaira Mae A. ",Inventory management system for declare water treatment,v.p.,2017
TH19-00254,THESIS TH 254 B84 2017,"Buenavista, Ranniel C.",Customer information and sales monitoring system pathair tricks salon,v.p.,2017
TH19-00255,THESIS TH 255 A53 2017,"Anacan, Jose Elbert D.",Patient information system with QR code technology for Cruz-Rabe maternity and general hospital,v.p.,2017
TH19-00256,THESIS TH 256 A38 2017,"Aguil, Kim Allen M.",Online event booking with billing system for perfect story event management,v.p.,2017
TH19-00257,THESIS TH 257 E54 2017,"Enerio, Allaine A. ",L.G.A pawnshop management system,v.p.,2017
TH19-00258,THESIS TH 258 B37 2017,"Barsalote, Alan R.",Resto bar ordering and inventory system for Nognog's bar and grill,v.p.,2017
TH19-00259,THESIS TH 259 A74 2017,"Arevalo, Albert G. ","Barangay information system for barangay Tuktukan, Taguig City",v.p.,2017
TH19-00260,THESIS TH 260 A53 2017,"Andan, Cyril Marc B. ",Sales management with online ordering system for Amang trading and cycle parts,v.p.,2017
TH19-00261,THESIS TH 261 E76 2017,"Erna, Jenica C.",Student portal with mobile application for K-12 of Taguig Science High School,v.p.,2017
TH19-00262,THESIS TH 262 B65 2017,"Bolanio, Mark Ruel B. ",Lan-based patient information and biling system for Follero dental clinic,v.p.,2017
TH19-00263,THESIS TH 263 A46 2017,"Alonzaga, Joshua F. ",Computer aided instruction in English I Grade VII for Sto. Ni¤o Catholic School,v.p.,2017
TH19-00264,THESIS TH 264 G85 2017,"Guiriba, Ma. Khely Joy M.",Restaurant management and billing system with android application for pasto group,v.p.,2017
TH19-00265,THESIS TH 265 S44 2017,"Serqui¤a, Marco D. ",Vehicle maintenance information with trip scheduling system for Philippine National Oil Company (PNOC),v.p.,2017
TH19-00266,THESIS TH 266 C33 2017,"Cadorna, John Dell A. ",Sales and inventory system with BARCODE reader for Lambent Inc. (PASAY BRANCH),v.p.,2017
TH19-00267,THESIS TH 267 D36 2017,"Daoang, Patricia Q. ",Cashiering and inventory system for Zyrill boutique,v.p.,2017
TH19-00268,THESIS TH 268 A38 2017,"Agumboy, John Mickelle D. ",Online loan management system for Makati City employee multi-purpose cooperative,v.p.,2017
TH19-00269,THESIS TH 269 F84 2017,"Fuentes, John Clyde M. ",Sales and stock monitoring system for dog and cat clinic,v.p.,2017
TH19-00270,THESIS TH 270 A26 2017,"Acosta, Lou Cedrick V.",Health record management system for Cruz-Rabe maternity and general hospital,v.p.,2017
TH19-00271,THESIS TH 271 E93 2017,"Evangelista, Kim Wency S.",Employee performance evaluation system for Pasay City hall,v.p.,2017
TH19-00272,THESIS TH 272 A28 2017,"Abucejo, Hannah Grace C. ",Patient management system with billing for Taguig Pateros district hospital,v.p.,2017
TH19-00273,THESIS TH 273 A53 2017,"Andes, Reycel E. ",Armed forces of the philippines enlisted personnel ladies club cooperative management system,v.p.,2017
TH19-00274,THESIS TH 274 A43 2017,"Alac, Caroline N.",Online insurance quotation and application system for Alisa insurance agency,v.p.,2017
TH19-00275,THESIS TH 275 B35 2017,"Balabadan, Joenair P. ",Online job application and information system with SMS notification,v.p.,2017
TH19-00276,THESIS TH 276 B87 2017,"Bustamante, Isiah Benjamin",Mobile e-learning system for level 7 to level 10 inclusion class of reach international school with computer-based assessment,v.p.,2017
TH19-00277,THESIS TH 277 A23 2017,"Abaya, Rhoel R. ",Discipleship training class progress monitoring nsystem for youth campus ministry of victory fort bonifacio,v.p.,2017
TH19-00278,THESIS TH 278 B47 2017,"Bestar, Leonha M. ",MCU-based automatic rice serving and packaging system,v.p.,2017
TH19-00279,THESIS TH 279 O85 2017,"Osia, Marc Roel R. ",MCU-based remote controlled lawn grass cutter,v.p.,2017
TH19-00280,THESIS TH 280 B87 2017,"Bustillo, Annalie A. ",Automated baggage storage area for STI College Global City Library (with students' schedule verification and sms notification,v.p.,2017
TH19-00281,THESIS TH 281 L39 2017,"Lawag, Marvin D. ",MCU-based automated clothesline system using solar panel with android application,v.p.,2017
TH19-00282,THESIS TH 282 B36 2017,"Banta, Karla Mase T. ",MCU-based US dollar to Philippine peso exchanger machine,v.p.,2017
TH19-00283,THESIS TH 283 F47 2017,"Fernando, Abigail B. ",MCU-based traffic cone deployment and retrieval machine,v.p.,2017
TH19-00284,THESIS TH 284 D86 2017,"Dungganon, Moiralyn Grace G.",MCU-BASED motorized shopping cart,v.p.,2017
TH19-00285,THESIS TH 285 G38 2017,"Gatchalian, Andrew Joseph M.",MCU BASED Smart Helmet using GSM and GPS technology for accident detection and reportinh system,v.p.,2017
TH19-00286,THESIS TH 286 L35 2016,"Laid, Roger Jose Jr. D. ",MCU-BASED automatic interior wall paiting device,v.p.,2016
TH19-00287,THESIS TH 287 A23 2016 ,"Acas, Remy M. ",MCU-BASED Power Generator with Body Mass Index measurement and voice power notification,v.p.,2016
TH19-00288,THESIS TH 288 B56 2016,"Binungcal, Dan Mark D.",MCU-BASED Tennis Ball Collector Mobot using image processing,v.p.,2016
TH19-00289,THESIS TH 289 J38 2016,"Javier, Iman Carlo R. ",Queuing Machine with SMS notifier for STI College Global City,v.p.,2016
TH19-00290,THESIS TH 290 D45 2017,"Dela Cruz, Andrei Frederick V.",Remote Operated Amphibious Drone with Robotic Arm,v.p.,2017
TH19-00291,THESIS TH 291 B67 2017,"Borda, Christine Joy A. ",A bachelors feasibility study presented to the faculty of the undergraduate school of STI College Global City,v.p.,2017
TH19-00292,THESIS TH 292 D45 2017,"Dela Cruz, Meynard G. ",Liquefied Petroleum Gas-LPG-Leak monitoring and Dispersion system for wellgas enterprises,v.p.,2017
TH19-00293,THESIS TH 293 B85 2017,"Bulawan, Byron Carl G. ",MCU-BASED Indoor Court Roving vacuum cleaner,v.p.,2017
TH19-00294,THESIS TH 294 C37 2017 ,"Casimsiman, Paul Nathaniel A. ",LAN-BASED Enrollment with encoding of grades system for gen. pio del pilar national high school,v.p.,2017
TH19-00295,THESIS TH 295 A26 2017,"Acopiado, Paul Christian U. ","Student enrollment, sectioning and grading system for saint lawrence foundatin school inc.",v.p.,2017
TH19-00296,THESIS TH 296 A23 2017,"Abdulkadir, Michael A. ","Client information and sales monitoring system for ovi-graphic line, inc.",v.p.,2017
TH19-00297,THESIS TH 297 A33 2017 ,"Agapito, Kenneth",Appointment and Billing for DNS dental clinic,v.p.,2017
TH19-00298,THESIS TH 298 D38 2017,"David, Lyra P. ",Online reservation and billing systen with email notification for 4G Travel Services,v.p.,2017
TH19-00299,THESIS TH 299 A54 2017,"Ang, Mary Joy",A bachelor's feasibility study presented the faculty of the undergraduate school STI College Global City,v.p.,2017
TH19-00300,THESIS TH 300 A76 2017 ,"Armea, Joel",Feasibility study of club and resort operations buh virah ressort,v.p.,2017
TH19-00301,THESIS TH 301 A23 2016 ,"Abadinas, Ryan Ceasar A. ",LAN-BASED interactive transaction management system and online bidding of billboard site for sights and sites outdoor advertising inc.,v.p.,2016
TH19-00302,THESIS TH 302 L33 2016 ,"Ladanan, Eira Maurene A. ",Front office system with billing and VIP list for my inn hotel,v.p.,2016
TH19-00303,THESIS TH 303 A74 2016,"Are, Jou-Van E.",Effectiveness of using facebook in promoting bonifacio global city,v.p.,2016
TH19-00304,THESIS TH 304 F67 2016,,"Formulating, Organizing and Developing network infrastructure with an innovative implementation strategy for FARB software development through network stimulation facility",v.p.,2016
TH19-00305,THESIS TH 305 A43 2016,"Albito, Marielle B.",Auto shop management system for rapide taguig,v.p.,2016
TH19-00306,THESIS TH 306 B33 2016,"Bacu¤a, John Carlo S. ",Shipment shceduling and monitoring system for mabuhay padala center,v.p.,2016
TH19-00307,THESIS TH 307 C33 2016,"Cadacio, Jairah S.",Patient information and schedule monitoring system with RFID and SMS technology for health lock medical dental diagnostic services,v.p.,2016
TH19-00308,THESIS TH 308 P53 2016,,"Planning, designing, developing and implementing network infrastructure for FARB software development Ltd. through network simulation facility",v.p.,2016
TH19-00309,THESIS TH 309 P53 2016,,"Planning, innovating, managing and implementing network infrastructure for FARB software development Ltd. through network simulation facility",v.p.,2016
TH19-00310,THESIS TH 310 D47 2017,"Dequinon, John Carlo T. ",Automated sugar packing machine with inventory system,v.p.,2017
TH19-00311,THESIS TH 311 G33 2017,"Gabiola, David Joshua S.",MCU-Based electronic baby crib system with SMS technology,v.p.,2017
TH19-00312,THESIS TH 312 B47 2017,"Besina, Mary Sharmaine Rose B. ","Computerized library system with QR code technology and SMS notifications for Senator Renato ""Compa¤ero"" Cayetano Memorial Science and Technology High School",v.p.,2017
TH19-00313,THESIS TH 313 N36 2017,"Nanquil, Mel Ryan R. ",Inventory system with tenent online monitoring for district twentyone,v.p.,2017
TH19-00314,THESIS TH 314 B34 2017,"Bagnes, Harmond C. ",Wildflour Cafe + Bakery online ordering system,v.p.,2017
TH19-00315,THESIS TH 315 A93 2017,"Ayaton, Mark Angelo C.",Barangay Pembo Information system with online viewing of event information,v.p.,2017
TH19-00316,THESIS TH 316 Z46 2017,"Zenarosa, John Paul T. ",Guest monitoring with billing system for SOFEL HOTEL,v.p.,2017
TH19-00317,THESIS TH 317 B45 2017,"Bellezo, Pauline Angel G.",Web based ordering system for D'Irish Cosmetics,v.p.,2017
TH19-00318,THESIS TH 318 A23 2016,"Abanilla, Alec Karl L. ","Online reservation with ordering system for EJ's toy baloons, party needs and events",v.p.,2016
TH19-00319,THESIS TH 319 A43 2016,"Amador, Maria Ghemil F. ",Online client information system for ENDURA Land Development Corporation,v.p.,2016
TH19-00320,THESIS TH 320 M37 2016,"Marzo, Edward Paul S.",Health information management and medicine inventory system for STI College Global City,v.p.,2016
TH19-00321,THESIS TH 321 A78 2016,"Arevalo, Elaine C.",Catering management system with online inquiry for Elaine and Ian Mekeni's Kainan & Catering Services,v.p.,2016
TH19-00322,THESIS TH 322 C33 2016,"Cabalhin, Jayson L.",School health services management system with RFID technology for De La Salle College of Saint Benilde,v.p.,2016
TH19-00323,THESIS TH 323 D56 2016,"Dimero, Abigael P.",Student information system and web portal with RFID for Kids Mandarin Club,v.p.,2016
TH19-00324,THESIS TH 324 B37 2016,"Barrientos, Angelmae A.",Traffic violation monitoring system for traffic management ofice (TMO) Taguig with Android application,v.p.,2016
TH19-00325,THESIS TH 325 B35 2016,"Balmaceda, Ma. Christina L.",Transactions and records management system for Barangay Pinagsama,v.p.,2016
TH19-00326,THESIS TH 326 A94 2016,"Avellano, Nezyl I.",Maridhels Pharmacy information management system and monitoring,v.p.,2016
TH19-00327,THESIS TH 327 B47 2016,"Bernabe, Leo Gerald R.",Library online access directory with android technology for STI College Global City,v.p.,2016
TH19-00328,THESIS TH 328 D43 2016,"Decinal, Mark Prince Lawrence",Asset management with barcode technology for HCL Technologies Philippines,v.p.,2016
TH19-00329,THESIS TH 329 E87 2016,"Espino, Kathleen F.",Commercial off-the-shelf software for trucking services,v.p.,2016
TH19-00330,THESIS TH 330 T37 2016,"Tapit, June Dale T.",Gym management system with RFID technology for brightest fitness gym,v.p.,2016
TH19-00331,THESIS TH 331 A48 2016,"Alvis, John Louie R.",Online mobile bar reservation system for Tipsy Chemist,v.p.,2016
TH19-00332,THESIS TH 332 M33 2016,"Macaya, Rochelle",Web-based library management system with online book reservation for Comembo Elementary School,v.p.,2016
TH19-00333,THESIS TH 333 B35 2016,"Baldoza, Jejomar T.",Point of sale with SMS notification for LJ hardware and construction supplies,v.p.,2016
TH19-00334,THESIS TH 334 C36 2016 ,"Canapi, Francis Jernej B.",LAN-based evaluation system for Gulliver Integrates Outsourcing Inc,v.p.,2016
TH19-00335,THESIS TH 335 A27 2016 ,"Abrea, Ma. Joreza N.",Veterinary management system with iPet android application for BSF (Beterinaryo sa Fort) animal clinic,v.p.,2016
TH19-00336,THESIS TH 336 D53 2016,"Diaz, John",Pet management information system for animal shelter veterinary clinic with online inquiry,v.p.,2016
TH19-00337,THESIS TH 337 B75 2016,"Britos, Yugene E.",Online car rental and information system for autohub group of companies Global city,v.p.,2016
TH19-00338,THESIS TH 338 A25 2016,"Abille, Mark Jester S.",MCU-based solar powered phone/tablet charging station with sms technology.,v.p.,2016
TH19-00339,THESIS TH 339 A95 2016,"Aviles, Jessie",Mga dahilan ng mga mamamayan ng BGC sa pagtangkilik ng mga pagkaing dayo,v.p.,2016
TH19-00340,THESIS TH 340 C38 2016,"Cataraja, Gelie J.",Water distribution management system for ISG wildcat water association Inc,v.p.,2016
TH19-00341,THESIS TH 341 A73 2016,"Arcilla, James Wilson E.",Project material estimation system for ICV designs and builders,v.p.,2016
TH19-00342,THESIS TH 342 B35 2016,"Balucan, Monico D.",Online information system for 2EZ driving school,v.p.,2016
TH19-00343,THESIS TH 343 G37 2016,"Garcia, Joshua Alfonso P.",MCU-based examination booklet vending machine with PET bottles or aluminom cans as means of payment for STI College Global City,v.p.,2016
TH19-00344,THESIS TH 344 A23 2016,"Abdulrashid, Yusoph S.",MCU-based cough herbal syrup maker,v.p.,2016
TH19-00345,THESIS TH 345 C33 2016,"Cabuay, Luigi Miguel Y.",MCU-based personal firearm security and monitoring with discharged bullet counter,v.p.,2016
TH19-00346,THESIS TH 346 B84 2016,"Bugawisan, Liezel P.",Ang mga kasanayan sa larangan ng pagdidisenyo ng website ng mga estudyante ng BSIT 602 sa STI Global City,v.p.,2016
TH19-00347,THESIS TH 347 C57 2016,"Cipriano, Edgardo Jr.",Benigno S. Aquino High School multi-purpose cooperative loan management system,v.p.,2016
TH19-00348,THESIS TH 348 O43 2016,"Olarte, Jhoanna Mae P.",Payroll system with biometrics technology for Merry Mount Preparatory School,v.p.,2016
TH19-00349,THESIS TH 349 C37 2016,"Caseja, Harold M.",Ospital ng Makati patient management and billing system with mobile app,v.p.,2016
TH19-00350,THESIS TH 350 B66 2016,"Bondoc, Alexander D.",Property management system with QR code technology for bases conversion and development authority,v.p.,2016
TH19-00351,THESIS TH 351 B38 2016,"Batbatan, John Claude M.",Web-based events booking with billing system for AFP commissioned officers club,v.p.,2016
TH19-00352,THESIS TH 352 B34 2016,"Bagasina, Jose III T.",Online project management for home construction incorporated,v.p.,2016
TH19-00353,THESIS TH 353 A35 2016 ,"Aglibot, Don Amor",Butterfly garden resort,v.p.,2016
TH19-00354,THESIS TH 354 C37 2016,"Cardano, Micah Sarah R.",MCU-based methane and fertilizer production system using manure via anaerobic digestion,v.p.,2016
TH19-00355,THESIS TH 355 B87 2016,"Bustarde, Jomar D.","MCU-based printed circuit board (PCB) engraving, drilling, and cutting machine via CNC technology",v.p.,2016
TH19-00356,THESIS TH 356 A48 2016,"Altarejos, Jaypee Rizal",Limang tampok na mobile applications batay sa iba't ibang kategorya sa larangan ng information tecnology,v.p.,2016
TH19-00357,THESIS TH 357 M34 2016,"Magracia, Miko Ann C.",MCU-based water tank automation with status indicator and filtration system,v.p.,2016
TH19-00358,THESIS TH 358 D44 2016,"De Gracia, Renzo Lourd",A feasibility study on tourism destination development sweeternity,v.p.,2016
TH19-00359,THESIS TH 359  C65 2019,"Collada, Reymound P.",Android based vehicle tour reservation for travalets,158,2019
TH19-00360,THESIS TH 360 A46 2019,"Almeda, Jose Norman M.",Tech service system with notifications through mobile app for Pateros Catholic School,129 pages,2019
TH19-00361,THESIS TH 361 M33 2019,"Maaba, Ariel V.",LAN based appointment scheduling and billing system for Mount Sinai Veterinary practice clinic,144 pages,2019
TH19-00362,THESIS TH 362 G35 2019,"Galope, Judith V.",Online shopping with alternative payment system for Dermanique Spa and Derma equipment,189 pages,2019
TH19-00363,THESIS TH 363 D45 2019,"Dela Cruz, John Lorenzo",Information system for cloud and teddy gym with QR ID code and fitness guide with diet tips app,192,2019
TH19-00364,THESIS TH 364 D66 2019,"Domingo, Regine T.",Online reservation for Papa Reggie's Food and Catering Services,171 pages,2019
TH19-00365,THESIS TH 365 B36 2019,"Banta, Rona L.",Android based GPS monitoring and push notification for BRAM's Taxi Company,121 pages,2019
TH19-00366,THESIS TH 366 B36 2019 ,"Bangug, Jerric M.",LAN based student registration and payment with SMS notification for St. Michael Institute for Lifelong Education,225 pages,2019
TH19-00367,THESIS TH 367 B37 2019,"Barola, Adrian Kent P.",Customer registration and information system with fitness guide mobile application for JA Benjamin Gym,v.p.,2019
TH19-00368,THESIS TH 368 B58 2019,"Bituin, Kelvin B.",Online stock monitoring and outlet product request through android application for Fabula's merchandise,169 pages,2019
TH19-00369,THESIS TH 369 D56 2019,"Dioneda, Mark Lester C.",Online ordering system with SMS notification for dimensione furniture BGC,103,2019
TH19-00370,THESIS TH 370 G73 2019,"Granados, Patrick John B.",LAN based file sharing system for Buting Senior High School,v.p.,2019
TH19-00371,THESIS TH 371 B66 2019,"Bonifacio, Raven Ian R.",Computerized maintenance and management system for fresh n' famous foods inc.- chowking,131,2019
TH19-00372,THESIS TH 372 C84 2019,"Cueva, Mikkee P.",Genesis : a first person tactical zombie horror survival video game,v.p.,2019
TH19-00373,THESIS TH 373 A97 2019,"Austria, Franz Rovie C.",Information system for Kenshiro fitness gym with SMS notification and QR code,134 pages,2019
TH19-00374,THESIS TH 374 B57 2019,"Biri, Keithlene P.",iMatch Swiftly : the puzzle memory game,183 pages,2019
TH19-00375,THESIS TH 375 B35 2019,"Balabbo, John Jowell L.",Android based property management with e-mail notification for pink building,v.p.,2019
TH19-00376,THESIS TH 376 C33 2019,"Cabison, John Lester B.",Professor Helper a personal organizer with QR attendance checker android application,190 psges,2019
TH19-00377,THESIS TH 377 F37 2019,"Faranal, Jestmund O.",PAOVILLE maintenance services with mobile app,127 pages,2019
